"timestamp","payload"
"90506","{""internal_temperature"":{""N"":""32.25999832""},""pressure"":{""N"":""973.9476318""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""90506""}}"
"623716","{""internal_temperature"":{""N"":""31.47999954""},""pressure"":{""N"":""973.2878418""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""623716""}}"
"803137","{""internal_temperature"":{""N"":""31.12000084""},""pressure"":{""N"":""973.4246826""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""803137""}}"
"261868","{""internal_temperature"":{""N"":""30.57999992""},""pressure"":{""N"":""973.4425049""},""external_temperature"":{""N"":""30.4375""},""timestamp"":{""N"":""261868""}}"
"103668","{""internal_temperature"":{""N"":""32.29000092""},""pressure"":{""N"":""974.2537231""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""103668""}}"
"9635","{""internal_temperature"":{""N"":""32.77000046""},""pressure"":{""N"":""971.5664063""},""external_temperature"":{""N"":""31.875""},""timestamp"":{""N"":""9635""}}"
"278752","{""internal_temperature"":{""N"":""32.25999832""},""pressure"":{""N"":""973.9823608""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""278752""}}"
"77860","{""internal_temperature"":{""N"":""32.25999832""},""pressure"":{""N"":""974.2592163""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""77860""}}"
"461562","{""internal_temperature"":{""N"":""30.95999908""},""pressure"":{""N"":""973.423584""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""461562""}}"
"70377","{""internal_temperature"":{""N"":""32.72999954""},""pressure"":{""N"":""975.196228""},""external_temperature"":{""N"":""31.4375""},""timestamp"":{""N"":""70377""}}"
"575421","{""internal_temperature"":{""N"":""31.03000069""},""pressure"":{""N"":""973.4505615""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""575421""}}"
"490795","{""internal_temperature"":{""N"":""32.41999817""},""pressure"":{""N"":""974.0054932""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""490795""}}"
"301028","{""internal_temperature"":{""N"":""32.38999939""},""pressure"":{""N"":""974.1060791""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""301028""}}"
"900302","{""internal_temperature"":{""N"":""31.14999962""},""pressure"":{""N"":""973.4298706""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""900302""}}"
"882084","{""internal_temperature"":{""N"":""31.13999939""},""pressure"":{""N"":""973.4542236""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""882084""}}"
"244856","{""internal_temperature"":{""N"":""32.36999893""},""pressure"":{""N"":""974.1387329""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""244856""}}"
"608535","{""internal_temperature"":{""N"":""31.47999954""},""pressure"":{""N"":""973.3135986""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""608535""}}"
"11909","{""internal_temperature"":{""N"":""31.36000061""},""pressure"":{""N"":""973.5203247""},""external_temperature"":{""N"":""30.3125""},""timestamp"":{""N"":""11909""}}"
"6476","{""internal_temperature"":{""N"":""30.32999992""},""pressure"":{""N"":""973.3693237""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""6476""}}"
"1080958","{""internal_temperature"":{""N"":""31.20999908""},""pressure"":{""N"":""973.4248657""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""1080958""}}"
"166227","{""internal_temperature"":{""N"":""30.53000069""},""pressure"":{""N"":""973.4140625""},""external_temperature"":{""N"":""30.3125""},""timestamp"":{""N"":""166227""}}"
